timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/08/27 15:30:59.324, 2, 100 %, 23 %, 35296 MiB, 108.29 W
2026/08/27 15:31:04.325, 0, 100 %, 21 %, 35307 MiB, 83.58 W
2026/08/27 15:31:04.325, 1, 100 %, 22 %, 35296 MiB, 90.81 W
2026/08/27 15:31:04.325, 2, 100 %, 27 %, 35296 MiB, 95.57 W
2026/08/27 15:31:09.325, 0, 16 %, 4 %, 35307 MiB, 59.98 W
2026/08/27 15:31:09.326, 1, 0 %, 0 %, 35296 MiB, 57.35 W
2026/08/27 15:31:09.326, 2, 1 %, 0 %, 35296 MiB, 59.99 W
2026/08/27 15:31:14.326, 0, 12 %, 0 %, 35307 MiB, 37.90 W
2026/08/27 15:31:14.326, 1, 0 %, 0 %, 35296 MiB, 37.19 W
2026/08/27 15:31:14.326, 2, 0 %, 0 %, 35296 MiB, 38.35 W
2026/08/27 15:31:19.327, 0, 10 %, 0 %, 35309 MiB, 37.72 W
2026/08/27 15:31:19.327, 1, 0 %, 0 %, 35296 MiB, 36.99 W
2026/08/27 15:31:19.327, 2, 0 %, 0 %, 35296 MiB, 38.25 W
2026/08/27 15:31:24.327, 0, 0 %, 0 %, 35309 MiB, 38.29 W
2026/08/27 15:31:24.327, 1, 0 %, 0 %, 35296 MiB, 36.90 W
2026/08/27 15:31:24.327, 2, 0 %, 0 %, 35296 MiB, 38.25 W
2026/08/27 15:31:29.328, 0, 11 %, 4 %, 35309 MiB, 37.51 W
2026/08/27 15:31:29.328, 1, 0 %, 0 %, 35296 MiB, 36.60 W
2026/08/27 15:31:29.328, 2, 0 %, 0 %, 35296 MiB, 38.04 W
2026/08/27 15:31:34.329, 0, 7 %, 1 %, 35309 MiB, 37.72 W
2026/08/27 15:31:34.329, 1, 0 %, 0 %, 35296 MiB, 37.10 W
2026/08/27 15:31:34.329, 2, 0 %, 0 %, 35296 MiB, 38.25 W
2026/08/27 15:31:39.329, 0, 0 %, 0 %, 35309 MiB, 37.53 W
2026/08/27 15:31:39.329, 1, 0 %, 0 %, 35296 MiB, 37.01 W
2026/08/27 15:31:39.329, 2, 0 %, 0 %, 35296 MiB, 37.76 W
2026/08/27 15:31:44.329, 0, 100 %, 21 %, 35311 MiB, 141.85 W
2026/08/27 15:31:44.330, 1, 100 %, 24 %, 35296 MiB, 81.04 W
2026/08/27 15:31:44.330, 2, 100 %, 29 %, 35296 MiB, 138.27 W
2026/08/27 15:31:49.330, 0, 100 %, 20 %, 35311 MiB, 134.50 W
2026/08/27 15:31:49.331, 1, 100 %, 27 %, 35296 MiB, 145.96 W
2026/08/27 15:31:49.331, 2, 100 %, 22 %, 35296 MiB, 108.89 W
2026/08/27 15:31:54.332, 0, 100 %, 20 %, 35311 MiB, 141.37 W
2026/08/27 15:31:54.332, 1, 100 %, 24 %, 35296 MiB, 128.93 W
2026/08/27 15:31:54.332, 2, 100 %, 26 %, 35296 MiB, 167.03 W
2026/08/27 15:31:59.342, 0, 100 %, 0 %, 35313 MiB, 74.77 W
2026/08/27 15:31:59.342, 1, 99 %, 0 %, 35296 MiB, 71.28 W
2026/08/27 15:31:59.342, 2, 100 %, 0 %, 35296 MiB, 74.86 W
2026/08/27 15:32:04.343, 0, 0 %, 0 %, 35313 MiB, 60.18 W
2026/08/27 15:32:04.343, 1, 23 %, 4 %, 35296 MiB, 37.36 W
2026/08/27 15:32:04.344, 2, 0 %, 0 %, 35296 MiB, 59.99 W
2026/08/27 15:32:09.344, 0, 7 %, 0 %, 35313 MiB, 38.00 W
2026/08/27 15:32:09.344, 1, 0 %, 0 %, 35296 MiB, 37.09 W
2026/08/27 15:32:09.345, 2, 0 %, 0 %, 35296 MiB, 38.25 W
2026/08/27 15:32:14.345, 0, 19 %, 4 %, 35313 MiB, 37.90 W
2026/08/27 15:32:14.345, 1, 0 %, 0 %, 35296 MiB, 39.14 W
2026/08/27 15:32:14.345, 2, 0 %, 0 %, 35296 MiB, 38.45 W
2026/08/27 15:32:19.346, 0, 6 %, 0 %, 35313 MiB, 37.51 W
2026/08/27 15:32:19.346, 1, 9 %, 4 %, 35296 MiB, 36.98 W
2026/08/27 15:32:19.346, 2, 0 %, 0 %, 35296 MiB, 38.25 W
2026/08/27 15:32:24.346, 0, 7 %, 1 %, 35313 MiB, 37.80 W
2026/08/27 15:32:24.346, 1, 0 %, 0 %, 35296 MiB, 47.13 W
2026/08/27 15:32:24.346, 2, 0 %, 0 %, 35296 MiB, 38.15 W
2026/08/27 15:32:29.348, 0, 0 %, 0 %, 35313 MiB, 37.63 W
2026/08/27 15:32:29.348, 1, 14 %, 7 %, 35296 MiB, 37.20 W
2026/08/27 15:32:29.348, 2, 0 %, 0 %, 35296 MiB, 38.25 W
2026/08/27 15:32:34.350, 0, 0 %, 0 %, 35313 MiB, 37.54 W
